Arbeitsverzeichnis geaendert zu: /home/wir/Schreibtisch/Nodge3/Nodges
Server-Verzeichnis: /home/wir/Schreibtisch/Nodge3/Nodges

[START] CORS-faehiger HTTP-Server gestartet!
[FOLDER] Verzeichnis: /home/wir/Schreibtisch/Nodge3/Nodges
[WEB] URL: http://localhost:8000
[LINK] Netzwerk-URL: http://192.168.1.252:8000

[OK] CORS ist aktiviert - keine Cross-Origin-Probleme!
[STOP]  Zum Beenden: Ctrl+C druecken
[29/Jul/2025 09:51:59] "GET /src/utils/FPSMonitor.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/FileHandler.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/ImportManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/ExportManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/EdgeLabelManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/NeighborhoodHighlighter.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/KeyboardShortcuts.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/BatchOperations.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/NodeGroupManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/utils/LayoutGUI.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/effects/HighlightManager.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /src/effects/GlowEffect.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /objects/Node.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /objects/Edge.js HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /data/examples/small.json HTTP/1.1" 200 -
[29/Jul/2025 09:51:59] "GET /favicon-32x32.png HTTP/1.1" 200 -
[29/Jul/2025 09:54:30] "GET / HTTP/1.1" 200 -
[29/Jul/2025 09:57:20] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:57:20] "GET /main.js HTTP/1.1" 200 -
[29/Jul/2025 09:57:20] "GET /src/core/LayoutManager.js HTTP/1.1" 304 -
[29/Jul/2025 09:57:20] "GET /objects/Edge.js HTTP/1.1" 304 -
[29/Jul/2025 09:57:20] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:57:20] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:57:30] "GET /data/examples/medium.json HTTP/1.1" 200 -
[29/Jul/2025 09:57:32] "GET /data/examples/mega.json HTTP/1.1" 200 -
[29/Jul/2025 09:57:34] code 404, message File not found
[29/Jul/2025 09:57:34] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
[29/Jul/2025 09:57:35] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:57:35] "GET /main.js HTTP/1.1" 304 -
[29/Jul/2025 09:57:35] code 404, message File not found
[29/Jul/2025 09:57:35] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
[29/Jul/2025 09:57:36] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:57:36] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:59:24] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:59:24] "GET /main.js HTTP/1.1" 304 -
[29/Jul/2025 09:59:24] "GET /objects/Edge.js HTTP/1.1" 304 -
[29/Jul/2025 09:59:24] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:59:24] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:59:27] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:59:27] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:59:27] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:59:32] code 404, message File not found
[29/Jul/2025 09:59:32] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
[29/Jul/2025 09:59:46] "GET /index.html HTTP/1.1" 304 -
[29/Jul/2025 09:59:46] "GET /main.js HTTP/1.1" 304 -
[29/Jul/2025 09:59:46] code 404, message File not found
[29/Jul/2025 09:59:46] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
[29/Jul/2025 09:59:46] "GET /data/examples/ HTTP/1.1" 200 -
[29/Jul/2025 09:59:46] "GET /data/examples/ HTTP/1.1" 200 -
